customer_id_externo;mrr;billing_profile;days_since_last;features_used_30d;email
saudavel-0001;70,55;CLT;1;19;financeiro+saudavel-0001@exemplo.com.br
saudavel-0002;148,65;freelancer;0;11;financeiro+saudavel-0002@exemplo.com.br
saudavel-0003;182,86;freelancer;2;13;financeiro+saudavel-0003@exemplo.com.br
saudavel-0004;279,59;PJ;2;16;financeiro+saudavel-0004@exemplo.com.br
saudavel-0005;62,78;freelancer;1;9;financeiro+saudavel-0005@exemplo.com.br
saudavel-0006;79,69;PJ;2;19;financeiro+saudavel-0006@exemplo.com.br
saudavel-0007;176,12;freelancer;2;16;financeiro+saudavel-0007@exemplo.com.br
saudavel-0008;39,90;PJ;4;8;financeiro+saudavel-0008@exemplo.com.br
saudavel-0009;169,98;CLT;0;17;financeiro+saudavel-0009@exemplo.com.br
saudavel-0010;58,66;PJ;2;12;financeiro+saudavel-0010@exemplo.com.br
saudavel-0011;129,14;PJ;2;16;financeiro+saudavel-0011@exemplo.com.br
saudavel-0012;277,76;freelancer;0;14;financeiro+saudavel-0012@exemplo.com.br
saudavel-0013;124,98;PJ;1;20;financeiro+saudavel-0013@exemplo.com.br
saudavel-0014;308,10;freelancer;0;15;financeiro+saudavel-0014@exemplo.com.br
saudavel-0015;57,63;CLT;2;8;financeiro+saudavel-0015@exemplo.com.br
saudavel-0016;101,48;PJ;2;18;financeiro+saudavel-0016@exemplo.com.br
saudavel-0017;162,20;CLT;0;15;financeiro+saudavel-0017@exemplo.com.br
saudavel-0018;199,54;PJ;4;19;financeiro+saudavel-0018@exemplo.com.br
saudavel-0019;51,33;CLT;1;12;financeiro+saudavel-0019@exemplo.com.br
saudavel-0020;278,98;freelancer;0;13;financeiro+saudavel-0020@exemplo.com.br
saudavel-0021;187,17;PJ;0;13;financeiro+saudavel-0021@exemplo.com.br
saudavel-0022;76,89;CLT;1;15;financeiro+saudavel-0022@exemplo.com.br
saudavel-0023;102,01;CLT;0;11;financeiro+saudavel-0023@exemplo.com.br
saudavel-0024;93,02;freelancer;0;19;financeiro+saudavel-0024@exemplo.com.br
saudavel-0025;71,11;PJ;0;19;financeiro+saudavel-0025@exemplo.com.br
saudavel-0026;301,78;PJ;1;10;financeiro+saudavel-0026@exemplo.com.br
saudavel-0027;212,90;CLT;0;11;financeiro+saudavel-0027@exemplo.com.br
saudavel-0028;40,59;freelancer;4;16;financeiro+saudavel-0028@exemplo.com.br
saudavel-0029;185,82;CLT;0;15;financeiro+saudavel-0029@exemplo.com.br
saudavel-0030;39,90;freelancer;1;14;financeiro+saudavel-0030@exemplo.com.br
saudavel-0031;564,07;CLT;0;13;financeiro+saudavel-0031@exemplo.com.br
saudavel-0032;211,50;freelancer;0;15;financeiro+saudavel-0032@exemplo.com.br
saudavel-0033;176,59;freelancer;1;15;financeiro+saudavel-0033@exemplo.com.br
saudavel-0034;259,89;PJ;0;11;financeiro+saudavel-0034@exemplo.com.br
saudavel-0035;199,61;CLT;1;8;financeiro+saudavel-0035@exemplo.com.br
saudavel-0036;70,66;freelancer;1;15;financeiro+saudavel-0036@exemplo.com.br
saudavel-0037;110,85;freelancer;0;16;financeiro+saudavel-0037@exemplo.com.br
saudavel-0038;128,86;freelancer;3;15;financeiro+saudavel-0038@exemplo.com.br
saudavel-0039;161,98;CLT;0;14;financeiro+saudavel-0039@exemplo.com.br
saudavel-0040;104,90;freelancer;0;14;financeiro+saudavel-0040@exemplo.com.br
saudavel-0041;84,58;PJ;2;15;financeiro+saudavel-0041@exemplo.com.br
saudavel-0042;58,78;PJ;1;18;financeiro+saudavel-0042@exemplo.com.br
saudavel-0043;101,06;freelancer;1;11;financeiro+saudavel-0043@exemplo.com.br
saudavel-0044;176,12;freelancer;2;18;financeiro+saudavel-0044@exemplo.com.br
