customer_id_externo;mrr;billing_profile;days_since_last;features_used_30d;email
uso-diario-0001;117,59;CLT;30;13;financeiro+uso-diario-0001@exemplo.com.br
uso-diario-0002;143,73;PJ;3;14;financeiro+uso-diario-0002@exemplo.com.br
uso-diario-0003;97,28;freelancer;4;9;financeiro+uso-diario-0003@exemplo.com.br
uso-diario-0004;95,32;PJ;8;11;financeiro+uso-diario-0004@exemplo.com.br
uso-diario-0005;324,61;freelancer;0;12;financeiro+uso-diario-0005@exemplo.com.br
uso-diario-0006;123,72;CLT;6;8;financeiro+uso-diario-0006@exemplo.com.br
uso-diario-0007;50,10;freelancer;0;5;financeiro+uso-diario-0007@exemplo.com.br
uso-diario-0008;170,34;freelancer;8;7;financeiro+uso-diario-0008@exemplo.com.br
uso-diario-0009;84,34;PJ;3;17;financeiro+uso-diario-0009@exemplo.com.br
uso-diario-0010;83,96;CLT;1;18;financeiro+uso-diario-0010@exemplo.com.br
uso-diario-0011;306,77;CLT;0;18;financeiro+uso-diario-0011@exemplo.com.br
uso-diario-0012;88,65;CLT;1;12;financeiro+uso-diario-0012@exemplo.com.br
uso-diario-0013;204,84;freelancer;0;13;financeiro+uso-diario-0013@exemplo.com.br
uso-diario-0014;132,94;PJ;0;10;financeiro+uso-diario-0014@exemplo.com.br
uso-diario-0015;126,80;freelancer;1;13;financeiro+uso-diario-0015@exemplo.com.br
uso-diario-0016;133,66;PJ;2;10;financeiro+uso-diario-0016@exemplo.com.br
uso-diario-0017;59,44;freelancer;1;10;financeiro+uso-diario-0017@exemplo.com.br
uso-diario-0018;529,52;CLT;2;18;financeiro+uso-diario-0018@exemplo.com.br
uso-diario-0019;45,70;freelancer;0;18;financeiro+uso-diario-0019@exemplo.com.br
uso-diario-0020;87,09;freelancer;1;8;financeiro+uso-diario-0020@exemplo.com.br
uso-diario-0021;44,56;freelancer;0;10;financeiro+uso-diario-0021@exemplo.com.br
uso-diario-0022;62,83;freelancer;2;7;financeiro+uso-diario-0022@exemplo.com.br
uso-diario-0023;74,13;freelancer;5;9;financeiro+uso-diario-0023@exemplo.com.br
uso-diario-0024;42,55;CLT;0;9;financeiro+uso-diario-0024@exemplo.com.br
uso-diario-0025;145,28;freelancer;0;11;financeiro+uso-diario-0025@exemplo.com.br
uso-diario-0026;47,35;CLT;1;14;financeiro+uso-diario-0026@exemplo.com.br
uso-diario-0027;114,36;PJ;4;10;financeiro+uso-diario-0027@exemplo.com.br
uso-diario-0028;329,24;PJ;0;14;financeiro+uso-diario-0028@exemplo.com.br
uso-diario-0029;60,20;PJ;0;13;financeiro+uso-diario-0029@exemplo.com.br
uso-diario-0030;196,80;PJ;0;9;financeiro+uso-diario-0030@exemplo.com.br
uso-diario-0031;210,33;PJ;0;12;financeiro+uso-diario-0031@exemplo.com.br
uso-diario-0032;120,50;PJ;2;6;financeiro+uso-diario-0032@exemplo.com.br
uso-diario-0033;39,90;CLT;0;15;financeiro+uso-diario-0033@exemplo.com.br
uso-diario-0034;76,19;CLT;1;16;financeiro+uso-diario-0034@exemplo.com.br
uso-diario-0035;39,90;PJ;0;14;financeiro+uso-diario-0035@exemplo.com.br
uso-diario-0036;165,63;PJ;8;14;financeiro+uso-diario-0036@exemplo.com.br
uso-diario-0037;117,71;freelancer;1;14;financeiro+uso-diario-0037@exemplo.com.br
uso-diario-0038;146,09;CLT;18;12;financeiro+uso-diario-0038@exemplo.com.br
uso-diario-0039;119,70;freelancer;1;5;financeiro+uso-diario-0039@exemplo.com.br
uso-diario-0040;250,28;freelancer;1;12;financeiro+uso-diario-0040@exemplo.com.br
uso-diario-0041;73,12;freelancer;6;14;financeiro+uso-diario-0041@exemplo.com.br
uso-diario-0042;180,01;PJ;0;15;financeiro+uso-diario-0042@exemplo.com.br
uso-diario-0043;73,07;CLT;5;7;financeiro+uso-diario-0043@exemplo.com.br
uso-diario-0044;64,04;CLT;1;11;financeiro+uso-diario-0044@exemplo.com.br
uso-diario-0045;178,10;CLT;1;10;financeiro+uso-diario-0045@exemplo.com.br
uso-diario-0046;137,92;PJ;2;11;financeiro+uso-diario-0046@exemplo.com.br
uso-diario-0047;98,05;PJ;0;17;financeiro+uso-diario-0047@exemplo.com.br
uso-diario-0048;122,03;PJ;0;16;financeiro+uso-diario-0048@exemplo.com.br
uso-diario-0049;196,29;CLT;0;18;financeiro+uso-diario-0049@exemplo.com.br
ANCORA-07-A;300,00;CLT;7;3;financeiro+ancora-07-a@exemplo.com.br
uso-diario-0051;84,02;CLT;0;8;financeiro+uso-diario-0051@exemplo.com.br
uso-diario-0052;60,31;freelancer;0;16;financeiro+uso-diario-0052@exemplo.com.br
uso-diario-0053;194,49;CLT;0;8;financeiro+uso-diario-0053@exemplo.com.br
uso-diario-0054;111,37;freelancer;4;16;financeiro+uso-diario-0054@exemplo.com.br
uso-diario-0055;69,97;PJ;2;13;financeiro+uso-diario-0055@exemplo.com.br
uso-diario-0056;111,35;freelancer;0;5;financeiro+uso-diario-0056@exemplo.com.br
uso-diario-0057;76,96;PJ;5;9;financeiro+uso-diario-0057@exemplo.com.br
uso-diario-0058;194,44;freelancer;;;financeiro+uso-diario-0058@exemplo.com.br
uso-diario-0059;213,09;PJ;0;9;financeiro+uso-diario-0059@exemplo.com.br
uso-diario-0060;93,71;PJ;1;8;financeiro+uso-diario-0060@exemplo.com.br
uso-diario-0061;533,35;CLT;;;financeiro+uso-diario-0061@exemplo.com.br
uso-diario-0062;167,95;freelancer;1;13;financeiro+uso-diario-0062@exemplo.com.br
uso-diario-0063;209,36;CLT;2;10;financeiro+uso-diario-0063@exemplo.com.br
uso-diario-0064;144,84;freelancer;5;7;financeiro+uso-diario-0064@exemplo.com.br
uso-diario-0065;121,93;freelancer;1;15;financeiro+uso-diario-0065@exemplo.com.br
uso-diario-0066;186,10;PJ;3;20;financeiro+uso-diario-0066@exemplo.com.br
uso-diario-0067;77,08;CLT;0;17;financeiro+uso-diario-0067@exemplo.com.br
uso-diario-0068;151,56;freelancer;0;8;financeiro+uso-diario-0068@exemplo.com.br
