customer_id_externo;mrr;billing_profile;days_since_last;features_used_30d;email
uso-mensal-0001;211,30;CLT;25;4;financeiro+uso-mensal-0001@exemplo.com.br
uso-mensal-0002;56,87;freelancer;29;2;financeiro+uso-mensal-0002@exemplo.com.br
uso-mensal-0003;74,64;CLT;44;4;financeiro+uso-mensal-0003@exemplo.com.br
uso-mensal-0004;41,59;freelancer;19;1;financeiro+uso-mensal-0004@exemplo.com.br
uso-mensal-0005;670,59;freelancer;22;4;financeiro+uso-mensal-0005@exemplo.com.br
uso-mensal-0006;94,80;PJ;27;1;financeiro+uso-mensal-0006@exemplo.com.br
uso-mensal-0007;321,72;CLT;25;4;financeiro+uso-mensal-0007@exemplo.com.br
uso-mensal-0008;65,83;PJ;26;3;financeiro+uso-mensal-0008@exemplo.com.br
uso-mensal-0009;147,77;freelancer;21;3;financeiro+uso-mensal-0009@exemplo.com.br
uso-mensal-0010;73,87;PJ;36;2;financeiro+uso-mensal-0010@exemplo.com.br
uso-mensal-0011;102,67;CLT;22;2;financeiro+uso-mensal-0011@exemplo.com.br
uso-mensal-0012;59,97;CLT;17;1;financeiro+uso-mensal-0012@exemplo.com.br
uso-mensal-0013;43,06;freelancer;21;1;financeiro+uso-mensal-0013@exemplo.com.br
uso-mensal-0014;70,20;PJ;27;1;financeiro+uso-mensal-0014@exemplo.com.br
uso-mensal-0015;39,90;freelancer;24;2;financeiro+uso-mensal-0015@exemplo.com.br
uso-mensal-0016;193,41;PJ;24;5;financeiro+uso-mensal-0016@exemplo.com.br
uso-mensal-0017;70,91;freelancer;36;4;financeiro+uso-mensal-0017@exemplo.com.br
uso-mensal-0018;115,25;CLT;21;4;financeiro+uso-mensal-0018@exemplo.com.br
uso-mensal-0019;123,26;CLT;24;1;financeiro+uso-mensal-0019@exemplo.com.br
uso-mensal-0020;39,90;PJ;17;7;financeiro+uso-mensal-0020@exemplo.com.br
uso-mensal-0021;84,78;CLT;25;3;financeiro+uso-mensal-0021@exemplo.com.br
uso-mensal-0022;64,65;freelancer;28;3;financeiro+uso-mensal-0022@exemplo.com.br
uso-mensal-0023;39,90;PJ;16;5;financeiro+uso-mensal-0023@exemplo.com.br
uso-mensal-0024;121,59;freelancer;25;3;financeiro+uso-mensal-0024@exemplo.com.br
uso-mensal-0025;165,38;freelancer;17;3;financeiro+uso-mensal-0025@exemplo.com.br
uso-mensal-0026;133,64;CLT;22;3;financeiro+uso-mensal-0026@exemplo.com.br
uso-mensal-0027;127,31;PJ;2;1;financeiro+uso-mensal-0027@exemplo.com.br
uso-mensal-0028;217,01;freelancer;17;4;financeiro+uso-mensal-0028@exemplo.com.br
uso-mensal-0029;85,53;CLT;21;4;financeiro+uso-mensal-0029@exemplo.com.br
uso-mensal-0030;543,07;freelancer;38;4;financeiro+uso-mensal-0030@exemplo.com.br
uso-mensal-0031;78,08;PJ;27;4;financeiro+uso-mensal-0031@exemplo.com.br
uso-mensal-0032;210,06;freelancer;28;3;financeiro+uso-mensal-0032@exemplo.com.br
uso-mensal-0033;85,14;CLT;28;3;financeiro+uso-mensal-0033@exemplo.com.br
uso-mensal-0034;303,48;freelancer;23;2;financeiro+uso-mensal-0034@exemplo.com.br
uso-mensal-0035;82,01;freelancer;19;4;financeiro+uso-mensal-0035@exemplo.com.br
uso-mensal-0036;97,07;freelancer;28;3;financeiro+uso-mensal-0036@exemplo.com.br
uso-mensal-0037;70,89;freelancer;37;6;financeiro+uso-mensal-0037@exemplo.com.br
uso-mensal-0038;76,92;PJ;20;6;financeiro+uso-mensal-0038@exemplo.com.br
uso-mensal-0039;52,45;PJ;12;3;financeiro+uso-mensal-0039@exemplo.com.br
uso-mensal-0040;153,00;freelancer;23;2;financeiro+uso-mensal-0040@exemplo.com.br
uso-mensal-0041;86,61;CLT;14;2;financeiro+uso-mensal-0041@exemplo.com.br
uso-mensal-0042;257,37;PJ;21;1;financeiro+uso-mensal-0042@exemplo.com.br
uso-mensal-0043;111,09;PJ;26;3;financeiro+uso-mensal-0043@exemplo.com.br
uso-mensal-0044;47,38;CLT;39;3;financeiro+uso-mensal-0044@exemplo.com.br
uso-mensal-0045;70,83;PJ;25;4;financeiro+uso-mensal-0045@exemplo.com.br
uso-mensal-0046;61,25;PJ;23;1;financeiro+uso-mensal-0046@exemplo.com.br
uso-mensal-0047;123,41;CLT;20;1;financeiro+uso-mensal-0047@exemplo.com.br
uso-mensal-0048;157,87;freelancer;29;2;financeiro+uso-mensal-0048@exemplo.com.br
uso-mensal-0049;388,02;freelancer;30;2;financeiro+uso-mensal-0049@exemplo.com.br
ANCORA-07-A;300,00;CLT;7;3;financeiro+ancora-07-a@exemplo.com.br
uso-mensal-0051;103,17;PJ;22;4;financeiro+uso-mensal-0051@exemplo.com.br
uso-mensal-0052;136,04;PJ;13;7;financeiro+uso-mensal-0052@exemplo.com.br
uso-mensal-0053;236,73;CLT;33;3;financeiro+uso-mensal-0053@exemplo.com.br
uso-mensal-0054;175,94;PJ;7;1;financeiro+uso-mensal-0054@exemplo.com.br
uso-mensal-0055;75,29;CLT;22;2;financeiro+uso-mensal-0055@exemplo.com.br
uso-mensal-0056;101,06;freelancer;32;3;financeiro+uso-mensal-0056@exemplo.com.br
uso-mensal-0057;39,90;CLT;26;3;financeiro+uso-mensal-0057@exemplo.com.br
uso-mensal-0058;127,84;freelancer;24;3;financeiro+uso-mensal-0058@exemplo.com.br
uso-mensal-0059;50,01;PJ;25;4;financeiro+uso-mensal-0059@exemplo.com.br
uso-mensal-0060;203,15;CLT;33;1;financeiro+uso-mensal-0060@exemplo.com.br
uso-mensal-0061;110,83;PJ;25;1;financeiro+uso-mensal-0061@exemplo.com.br
uso-mensal-0062;319,48;CLT;36;3;financeiro+uso-mensal-0062@exemplo.com.br
uso-mensal-0063;124,34;PJ;17;3;financeiro+uso-mensal-0063@exemplo.com.br
uso-mensal-0064;196,85;PJ;13;4;financeiro+uso-mensal-0064@exemplo.com.br
uso-mensal-0065;139,70;freelancer;19;6;financeiro+uso-mensal-0065@exemplo.com.br
uso-mensal-0066;113,45;CLT;23;0;financeiro+uso-mensal-0066@exemplo.com.br
uso-mensal-0067;119,65;PJ;39;3;financeiro+uso-mensal-0067@exemplo.com.br
uso-mensal-0068;93,79;freelancer;36;2;financeiro+uso-mensal-0068@exemplo.com.br
uso-mensal-0069;163,39;CLT;35;1;financeiro+uso-mensal-0069@exemplo.com.br
uso-mensal-0070;172,97;PJ;18;3;financeiro+uso-mensal-0070@exemplo.com.br
uso-mensal-0071;64,07;freelancer;34;2;financeiro+uso-mensal-0071@exemplo.com.br
uso-mensal-0072;360,40;CLT;34;3;financeiro+uso-mensal-0072@exemplo.com.br
uso-mensal-0073;178,65;PJ;27;3;financeiro+uso-mensal-0073@exemplo.com.br
uso-mensal-0074;169,47;PJ;24;4;financeiro+uso-mensal-0074@exemplo.com.br
uso-mensal-0075;90,96;PJ;26;4;financeiro+uso-mensal-0075@exemplo.com.br
